Date,Close/Last,Volume,Open,High,Low
10/26/2023,$3.729,61468,$3.81,$3.87,$3.70
10/25/2023,$3.899,22332,$3.927,$3.972,$3.85
10/24/2023,$3.927,27094,$3.90,$3.997,$3.90
10/23/2023,$3.949,32570,$3.851,$3.997,$3.85
10/20/2023,$3.9055,39767,$4.051,$4.10,$3.875
10/19/2023,$4.099,26229,$4.20,$4.20,$4.00
10/18/2023,$4.042,88311,$4.40,$4.449,$3.919
10/17/2023,$4.404,42045,$4.323,$4.70,$4.311
10/16/2023,$4.332,30952,$4.32,$4.45,$4.30
10/13/2023,$4.275,19155,$4.255,$4.397,$4.11
10/12/2023,$4.29,51915,$4.502,$4.673,$4.00
10/11/2023,$4.67,32607,$4.60,$4.70,$4.51
10/10/2023,$4.615,30972,$4.454,$4.64,$4.45
10/09/2023,$4.547,56498,$4.687,$4.80,$4.538
10/06/2023,$4.565,86312,$4.10,$4.672,$4.10
10/05/2023,$4.12,45367,$4.40,$4.40,$4.10
10/04/2023,$4.149,40390,$4.185,$4.215,$4.04
10/03/2023,$4.079,16370,$4.35,$4.35,$4.053
10/02/2023,$4.156,56764,$4.239,$4.2775,$4.08
09/29/2023,$4.37,60403,$3.94,$4.37,$3.94
09/28/2023,$3.984,26846,$4.052,$4.099,$3.90
09/27/2023,$4.0605,48223,$4.30,$4.398,$4.023
09/26/2023,$4.299,51064,$4.20,$4.39,$4.20
09/25/2023,$4.222,120605,$3.945,$4.40,$3.91
09/22/2023,$3.921,41603,$3.86,$4.048,$3.851
09/21/2023,$3.88,28600,$3.851,$3.896,$3.85
09/20/2023,$3.85,37887,$3.933,$3.95,$3.85
09/19/2023,$3.951,31243,$3.945,$3.999,$3.92
09/18/2023,$4.00,29016,$4.104,$4.112,$3.952
09/15/2023,$4.11,18481,$4.26,$4.31,$4.00
09/14/2023,$4.04,22155,$3.95,$4.06,$3.95
09/13/2023,$3.95,15217,$3.977,$3.986,$3.945
09/12/2023,$3.989,22732,$3.96,$3.99,$3.9345
09/11/2023,$3.96,50002,$4.00,$4.074,$3.901
09/08/2023,$4.019,48453,$4.07,$4.14,$4.001
09/07/2023,$4.111,34131,$4.298,$4.298,$4.05
09/06/2023,$4.201,15904,$4.25,$4.29,$4.20
09/05/2023,$4.29,61892,$4.21,$4.349,$4.13
09/01/2023,$4.21,29105,$4.109,$4.33,$4.109
08/31/2023,$4.10,27558,$4.24,$4.30,$4.10
08/30/2023,$4.30,20341,$4.067,$4.326,$4.051
08/29/2023,$4.099,23791,$4.123,$4.20,$4.05
08/28/2023,$4.044,39579,$4.196,$4.196,$4.002
08/25/2023,$4.194,18768,$4.20,$4.249,$4.10
08/24/2023,$4.185,19954,$4.20,$4.20,$4.103
08/23/2023,$4.20,37330,$4.287,$4.326,$4.101
08/22/2023,$4.322,33787,$4.402,$4.444,$4.305
08/21/2023,$4.50,37596,$4.41,$4.50,$4.381
08/18/2023,$4.42,23376,$4.51,$4.786,$4.42
08/17/2023,$4.535,22437,$4.763,$4.80,$4.40
08/16/2023,$4.635,50549,$4.71,$4.895,$4.5901
08/15/2023,$4.81,41838,$5.01,$5.119,$4.75
08/14/2023,$4.946,86474,$5.33,$5.51,$4.651
08/11/2023,$5.511,36519,$5.581,$5.701,$5.502
08/10/2023,$5.625,39592,$5.69,$5.70,$5.55
08/09/2023,$5.638,68803,$5.529,$5.80,$5.41
08/08/2023,$5.611,169880,$5.102,$5.792,$5.10
